Date,unmpl_fl,30ymtgR_fl,10yinfR,10ry_us,serv2debtsa_us,effmtgR_us,cnsmcrdtout_us,cnsmconf_fl,fedfund,hhdebt2inc,umpl_us,payroll_us,yc530,ois_us
2013-04-01,7.8,3.47,2.596,-0.6749,10.264721,4.01,-1.7,72.3,0.14,111.16,7.73,0.186,219.865,-2.55
2013-05-01,7.6,4.11,2.515,-0.1077,10.264721,4.01,3.89,77.1,0.09,111.16,7.73,0.214,225.979,-3.58
2013-06-01,7.6,4.45,2.436,0.4526,10.180797,3.92,-1.06,85.0,0.07,110.36,7.53,0.179,210.331,-1.6
2013-07-01,7.5,4.37,2.555,0.367,10.180797,3.92,0.16,68.7,0.09,110.36,7.53,0.122,225.539,-3.29
2013-08-01,7.4,4.48,2.457,0.6751,10.180797,3.92,1.53,68.1,0.07,110.36,7.53,0.243,205.725,-4.35
2013-09-01,7.3,4.31,2.547,0.4092,10.144618,3.89,0.88,73.2,0.06,109.61,7.23,0.185,230.154,-2.1
2013-10-01,7.2,4.12,2.5,0.3824,10.144618,3.89,3.7,63.0,0.07,109.61,7.23,0.22,230.917,-2.32
2013-11-01,7.1,4.37,2.4793,0.5613,10.144618,3.89,-4.52,57.6,0.07,109.61,7.23,0.273,244.206,-2.9
2013-12-01,7.0,4.54,2.54,0.7648,10.169668,3.9,1.7,68.9,0.07,110.35,6.93,0.055,222.518,-1.31
2014-01-01,6.9,4.28,2.476,0.5105,10.169668,3.9,6.76,77.0,0.07,110.35,6.93,0.184,210.668,-1.35
2014-02-01,6.8,4.31,2.497,0.4588,10.169668,3.9,5.8,79.4,0.06,110.35,6.93,0.159,207.979,-2.5
2014-03-01,6.7,4.39,2.443,0.5757,10.111206,3.86,2.05,75.8,0.06,109.09,6.67,0.277,183.825,-0.65
2014-04-01,6.7,4.29,2.46,0.4545,10.111206,3.86,6.34,84.3,0.09,109.09,6.67,0.311,178.192,0.9
2014-05-01,6.6,4.18,2.5175,0.2314,10.111206,3.86,3.47,89.5,0.08,109.09,6.67,0.202,178.696,0.2
2014-06-01,6.5,4.17,2.595,0.2485,10.056231,3.89,-0.14,77.2,0.09,107.66,6.2,0.333,172.833,2.2
2014-07-01,6.4,4.24,2.6125,0.2883,10.056231,3.89,5.75,77.4,0.08,107.66,6.2,0.243,156.221,1.97
2014-08-01,6.3,4.12,2.4725,0.2139,10.056231,3.89,1.96,88.3,0.07,107.66,6.2,0.181,145.258,1.05
2014-09-01,6.2,4.11,2.313,0.5134,10.034871,3.86,1.04,77.3,0.07,105.9,6.07,0.307,143.848,-1.0
2014-10-01,6.1,3.96,2.268,0.4021,10.034871,3.86,2.63,92.2,0.07,105.9,6.07,0.24,145.499,0.45
2014-11-01,6.0,3.94,2.1,0.359,10.034871,3.86,-7.63,97.0,0.08,105.9,6.07,0.284,140.668,0.6
2014-12-01,6.0,4.02,1.94,0.4689,9.985813,3.83,5.21,101.9,0.06,104.9,5.7,0.278,109.731,2.28
2015-01-01,5.9,3.77,1.884,-0.0067,9.985813,3.83,-7.28,102.5,0.06,104.9,5.7,0.196,106.586,3.8
2015-02-01,5.8,3.92,2.06,0.1535,9.985813,3.83,3.25,95.8,0.06,104.9,5.7,0.269,108.988,4.2
2015-03-01,5.8,3.79,1.9975,0.1423,10.010549,3.86,7.03,119.0,0.06,104.35,5.53,0.094,116.413,3.2
2015-04-01,5.7,3.88,2.107,0.0979,10.010549,3.86,6.38,93.4,0.08,104.35,5.53,0.277,131.337,2.75
2015-05-01,5.7,3.92,2.03,0.2937,10.010549,3.86,2.51,107.8,0.08,104.35,5.53,0.337,139.408,2.35
2015-06-01,5.6,4.19,2.15,0.4553,10.04362,3.81,5.93,103.9,0.08,104.31,5.43,0.156,147.403,1.5
2015-07-01,5.5,3.94,1.959,0.424,10.04362,3.81,4.86,124.2,0.08,104.31,5.43,0.294,137.578,5.25
