Date,CREDIT SCORE RANGE NUM,FL_mnth_escrow_pmt_amt_avg,FL_orig_dti,FL_Bal,FL_cur_ltv,FL_curr2orgltv_diff,FL_60
2011-10-01,3.0,0.0241196596925156,35.71570995,-1.5806971508432677,-1.1970014782929104,-1.5224651803855216,6.1768730000000005
2011-11-01,3.0,0.2099133964522916,35.69829654,-1.6312629599026691,-0.0881175362973944,-1.16664820731499,6.6610320000000005
2011-12-01,3.0,0.1842628450446569,35.68933983,-1.106877215455988,-0.5235956375675881,-2.5080600669269,6.612432699999999
2012-01-01,3.0,-2.209943357196435,35.68503832,0.9291025913010372,-0.5550600924631913,-1.0661754404713029,6.300346599999999
2012-02-01,3.0,0.0377629600056827,35.68236023,-0.4885922306219202,-0.1224341659536883,-0.9878557219799936,6.0723855
2012-03-01,3.0,-0.1383084437243789,35.67176022,-0.5824672969553053,-1.086878578234045,-5.302941703863817,5.7590257
2012-04-01,3.0,-0.1010840227907676,35.64501329,-0.4195393964717069,-1.7146151634982336,-8.50200175797107,5.7056429
2012-05-01,3.0,0.0899979376775209,35.64172547,-0.5970892527425883,-1.510128641797878,-8.402537880839718,5.8013209
2012-06-01,3.0,1.818187401943621,35.64060576,-0.2364717779175403,-1.313793360628164,-8.13548894707153,5.9058527
2012-07-01,3.0,0.3622958047321323,35.63401526,0.4042184967875811,-0.5873568573065732,-4.569488265607381,5.9117865
2012-08-01,3.0,0.4466994999179409,35.61172604,-1.0689586229824355,-0.2973526725249655,-4.5798386955810315,5.7123841
2012-09-01,3.0,0.2105544307201453,35.59523016,-1.2664738027560087,-0.3728696336518088,-4.291773877465873,5.9000655
2012-10-01,3.0,0.3545795418911767,35.5784262,-1.681066357879631,-0.9888521185688356,-5.232876033107839,5.9655658
2012-11-01,3.0,0.4074799511836527,35.5602371,-0.6548673688341324,-0.4195549807828805,-5.328402637365529,6.0213691
2012-12-01,3.0,0.4583428050631247,35.52431044,-1.4242065853815438,-1.5348604358226494,-11.68517249337911,5.8476107
2013-01-01,3.0,0.0115889900641694,35.51488642,-0.4343356440755656,-0.9507240569638036,-8.781732452236584,5.6020329
2013-02-01,3.0,0.6319499599820576,35.44109444,-0.7935563376572139,-0.7625185122513904,-7.117318943383043,5.412031600000001
